"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Costa Rica","CRI","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.73242936327897","","5.32758974151201","6.7013320119888","6.52014209469263","9.56054903611554","16.1934174190397","","","","3.013531827231","8.37318749280863","7.53588614603866","8.27543599299201","8.11547066709238","6.18578576204556","4.77621038518597","3.83689077548768","3.5040421302319","","3.82724764327654","4.90491376893806","4.16980847885031","4.95827999336993","4.9751433972405","3.84670562842237","3.4421455821892","3.04713741373833","3.14199075969613","3.22348803495399","",
"Caribbean small states","CSS","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.76164660443945","3.69435126059158","3.46711224165299","3.94701695690109","5.72550150108816","54.3683768366654","46.7561846828652","","","6.70388251738199","","","7.91746604009197","6.37927626536013","11.3930894836052","","","",
"Cyprus","CYP","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.4972711050561","71.9742018297407","28.687489602589","39.4226008114074","26.4895964077517","10.3225767577169","7.96788111301493","8.78445418868352","17.3556108950289","13.5233429541088","11.9323284463061","12.2998458851113","12.8659230568173","16.3565463641626","18.3648709206791","18.6086438198817","21.0893036408661","",
"Czechia","CZE","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.22979549453657","12.6256321213278","15.1647826965938","21.0136243678541","17.2963713115717","15.5249620610415","16.1358204785921","15.6752059957495","11.9616402452718","12.4157299401065","15.4404213886292","22.3818810013806","25.415522518491","28.4006609337804","36.2623317903537","17.2986326778969","","","","","","","","","","10.6995505413117","10.2467653377075","10.598397503362","12.8772452312801","9.54471813927969","",
"Germany","DEU","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","10.4380079548187","10.2365375595198","10.8016112715667","11.2612468492091","8.97606309955732","7.51915892316582","7.78976927063543","8.84669824569716","10.7134674066503","10.7682937060332","24.2490872987985","24.5385258389746","16.7670627893431","17.8379496304773","26.0079267863675","19.9819105831424","19.7575256941085","15.3495629455696","21.2460777777209","22.5340068453009","22.2661742613675","26.5215642092546","37.1929033514981","48.6819029844089","64.6905525686686","64.5783239896819","54.5036012508445","32.6307836233992","42.5699149347862","41.8788117991391","41.5476294494245","53.7571829522138","60.423753481629","29.1583623625491","37.1387724909896","41.2242048248427","30.9687124619637","41.3106605376081","50.8419744670843","43.8382863264297","50.1173122307621","48.5061115286821","60.1160538047472","43.3161187312593","53.0215722985443","57.9702083370574","57.5638135227687","45.385377869877","",
"Djibouti","DJI","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","10.1437276526256","10.7857323836541","9.61542067169771","8.51210611023475","7.37250542500754","7.82797513079264","10.0432246652288","9.22924600380878","17.49842083545","12.8898299728796","24.1725296724092","19.7857756825707","18.6294998755087","23.2680161497166","35.8144259729595","28.2615674417437","32.1830267148801","21.2390956315416","27.9037283042161","30.1268791652591","30.4151485007466","37.9127165720249","54.1284234292973","55.9006748585942","54.7832024080227","68.1638856572036","51.6403909738502","42.9278139702877","55.6910060266206","60.0627719491543","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.568738943573353","0.520704383422654","0.318371660835649","0.22409030213247","0.194161912869368","0.151329169261192","0.132398562591105","0.0766116916583422","0.0678421259938725","0.0506222986627452","0.059911941674207","0.0592920836817805","0.090137159694386","0.0734405775890513","0.0769842274328325","0.0704306388685683","0.0768130382510503","0.229127480378834","0.185981841536564","0.190907251680752","","","","","",
